month,exchangeRate,avgTemp,maxTemp,minTemp,rainfall,retailPrice,wholesalePrice,exportVolume,exportValue,importVolume,importValue,production
14-Jan,"1,065",0.7,3.5,4.9,13,943,407,"239,150","268,976,921,850","44,000","23,372,490",211567000
14-Feb,"1,071",1.9,6.6,1.8,16.2,892,357,"354,935","210,467,565",0,0,211567000
14-Mar,"1,071",7.9,13.1,3.5,7.2,786,310,"968,363","497,062,881",0,0,211567000
14-Apr,"1,045",14,19.6,9.4,31,796,307,"1,525,647","870,870,605","24,000","12,497,155",211567000
14-May,"1,025",18.9,25.3,13.8,63,736,283,"3,135,569","1,669,132,550",0,0,211567000
14-Jun,"1,019",23.1,27.8,19.7,98.1,731,340,"1,517,717","872,647,144","24,000","12,186,221",211567000
14-Jul,"1,020",26.1,30.6,22.9,207.9,"1,060",639,"576,890","483,739,080",0,0,211567000
14-Aug,"1,025",25.2,29,22.1,172.8,"1,353",665,"1,144,727","856,513,575",0,0,211567000
14-Sep,"1,033",22.1,27,18,88.1,"1,473",751,"429,382","294,895,675","24,000","12,370,175",211567000
14-Oct,"1,060",15.6,21.4,10.7,52.2,"1,030",406,"2,323,127","1,240,929,280","24,000","12,678,660",211567000
14-Nov,"1,095",9,13.8,4.9,41.5,790,359,"370,048","204,233,925",0,0,211567000
14-Dec,"1,104",2.9,1.5,6.7,17.9,761,334,"1,339,666","666,698,976","48,360","26,681,472",211567000
15-Jan,"1,089",0.9,3.6,4.8,11.3,768,330,"567,405","353,535,138",0,0,177914666.7
15-Feb,"1,098",1,6,2.9,22.7,787,363,"468,097","253,767,564","17,000","9,202,338",177914666.7
15-Mar,"1,113",6.3,12.4,1,9.6,924,422,"725,126","408,181,620","7,000","4,795,917",177914666.7
15-Apr,"1,089",13.3,18.8,8.4,80.5,"1,054",444,"1,056,672","558,174,573","24,000","13,794,363",177914666.7
15-May,"1,091",18.9,24.9,13.6,28.9,"1,280",855,"500,854","352,454,096",0,0,177914666.7
15-Jun,"1,112",23.6,29.5,18.9,99,"1,346",663,"1,647,870","1,467,624,272","253,004","97,331,136",177914666.7
15-Jul,"1,143",25.8,30,22.6,226,"1,158",565,"1,693,460","1,461,267,207","16,170","14,868,144",177914666.7
15-Aug,"1,179",26.3,30.8,22.8,72.9,"1,118",579,"1,428,699","1,203,957,072",0,0,177914666.7
15-Sep,"1,185",22.4,28.1,17.5,26,"1,113",556,"3,901,417","2,935,214,190",0,0,177914666.7
15-Oct,"1,148",15.5,21.2,10.8,81.5,"1,028",392,"3,377,183","2,014,430,040",0,0,177914666.7
15-Nov,"1,152",8.9,12.7,5.9,104.6,852,367,"1,071,978","691,470,720",0,0,177914666.7
15-Dec,"1,172",1.6,6,2.1,29.1,872,382,"1,647,942","902,694,324",0,0,177914666.7
16-Jan,"1,202",3.2,1.1,6.8,1,958,443,"738,666","424,474,280","16,200","13,403,502",149449250
16-Feb,"1,217",0.2,5.1,4.1,47.6,"1,223",772,"1,439,884","1,078,436,031",1,15821,149449250
16-Mar,"1,188",7,12.6,2.4,40.5,"1,558","1,132","749,278","736,328,340",0,0,149449250
16-Apr,"1,148",14.1,20.3,9.1,76.8,"1,797","1,399","27,772","55,711,292",0,0,149449250
16-May,"1,172",19.6,25.7,14.1,160.5,"1,564","1,058","734,434","562,476,788","57,750","16,323,616",149449250
16-Jun,"1,171",23.6,28.7,19.5,54.4,"1,192",566,"2,907,328","1,915,452,711",0,0,149449250
16-Jul,"1,144",26.2,29.8,23.3,358.2,"1,265",733,"1,238,680","886,386,072",0,0,149449250
16-Aug,"1,112",28,32.6,24.5,67.1,"1,948","1,441","140,306","116,905,672",0,0,149449250
16-Sep,"1,107",23.1,27.9,19.3,33,"3,154","1,980","55,694","58,119,714","224,520","104,433,273",149449250
16-Oct,"1,125",16.1,21.3,11.6,74.8,"2,025",963,"1,690,356","1,195,930,125",0,0,149449250
16-Nov,"1,162",6.8,11.6,2.8,16.7,"1,404",697,"4,188,705","2,963,357,964","50,775","17,617,082",149449250
16-Dec,"1,182",1.2,5.8,2.7,61.1,"1,640",843,"886,941","733,173,324","31,500","24,913,014",149449250
17-Jan,"1,185",1.8,2.9,5.8,14.9,"1,671",911,"195,334","200,141,760",120,50955,199640500
17-Feb,"1,145",0.2,4.8,4.7,11.1,"1,602",907,"542,759","456,011,135",0,0,199640500
17-Mar,"1,135",6.3,12.3,1.7,7.9,"1,592",847,"754,310","581,468,445","23,000","10,178,680",199640500
17-Apr,"1,133",13.9,20,9.1,61.6,"1,507",678,"1,661,983","971,457,993","15,967","12,993,244",199640500
