month,exchangeRate,avgTemp,maxTemp,minTemp,rainfall,retailPrice,wholesalePrice,exportVolume,exportValue,importVolume,importValue,production
14-Jan,"1,065",0.7,3.5,4.9,13,"6,495","3,540",0,0,"2,379,700","1,692,118,860",29480083.33
14-Feb,"1,071",1.9,6.6,1.8,16.2,"6,428","3,436",0,0,"2,554,740","1,815,962,967",29480083.33
14-Mar,"1,071",7.9,13.1,3.5,7.2,"6,352","3,279",0,0,"4,657,565","3,282,345,108",29480083.33
14-Apr,"1,045",14,19.6,9.4,31,"6,216","3,398",500,"3,965,775","2,701,740","1,791,522,920",29480083.33
14-May,"1,025",18.9,25.3,13.8,63,"6,344","3,497","13,649","60,124,450","2,248,896","1,580,966,150",29480083.33
14-Jun,"1,019",23.1,27.8,19.7,98.1,"6,180","3,550",150,544146,"2,501,406","1,677,249,544",29480083.33
14-Jul,"1,020",26.1,30.6,22.9,207.9,"6,162","3,756",0,0,"3,220,284","2,323,528,380",29480083.33
14-Aug,"1,025",25.2,29,22.1,172.8,"6,703","4,257","8,097","50,749,800","4,762,260","3,241,837,200",29480083.33
14-Sep,"1,033",22.1,27,18,88.1,"6,849","4,415",0,0,"2,423,815","1,873,780,393",29480083.33
14-Oct,"1,060",15.6,21.4,10.7,52.2,"6,777","4,435",300,"2,290,660","2,705,720","2,066,403,220",29480083.33
14-Nov,"1,095",9,13.8,4.9,41.5,"6,516","4,388",50,286890,"2,179,980","1,772,939,685",29480083.33
14-Dec,"1,104",2.9,1.5,6.7,17.9,"6,818","4,399","5,500","7,590,000","2,164,390","1,814,087,280",29480083.33
15-Jan,"1,089",0.9,3.6,4.8,11.3,"6,612","4,525",50,280962,"1,665,120","1,454,792,922",22189333.33
15-Feb,"1,098",1,6,2.9,22.7,"6,869","4,734",4,29646,"2,139,382","1,817,650,062",22189333.33
15-Mar,"1,113",6.3,12.4,1,9.6,"7,135","5,049",10,27825,"2,641,320","2,144,245,698",22189333.33
15-Apr,"1,089",13.3,18.8,8.4,80.5,"7,400","5,090",679,"4,651,119","2,631,150","2,284,482,420",22189333.33
15-May,"1,091",18.9,24.9,13.6,28.9,"7,585","4,999",0,0,"1,814,170","1,813,417,651",22189333.33
15-Jun,"1,112",23.6,29.5,18.9,99,"7,650","5,023","13,340","30,107,400","1,889,000","1,819,796,896",22189333.33
15-Jul,"1,143",25.8,30,22.6,226,"8,830","6,142",100,144018,"2,053,410","2,373,514,938",22189333.33
15-Aug,"1,179",26.3,30.8,22.8,72.9,"9,191","6,275",0,0,"2,249,750","2,753,154,819",22189333.33
15-Sep,"1,185",22.4,28.1,17.5,26,"9,462","6,330","9,810","25,774,935","3,033,530","3,433,257,840",22189333.33
15-Oct,"1,148",15.5,21.2,10.8,81.5,"9,636","6,418",100,128576,"2,757,930","3,302,486,040",22189333.33
15-Nov,"1,152",8.9,12.7,5.9,104.6,"9,238","6,611","10,820","29,403,648","4,664,855","5,236,792,704",22189333.33
15-Dec,"1,172",1.6,6,2.1,29.1,"9,727","6,775",0,0,"3,572,000","4,351,067,580",22189333.33
16-Jan,"1,202",3.2,1.1,6.8,1,"9,846","7,189","10,080","30,708,696","3,345,640","4,636,258,240",22962416.67
16-Feb,"1,217",0.2,5.1,4.1,47.6,"10,637","7,764",300,"1,628,346","3,169,760","4,492,343,742",22962416.67
16-Mar,"1,188",7,12.6,2.4,40.5,"11,147","7,874",200,"1,444,608","1,911,000","3,129,231,204",22962416.67
16-Apr,"1,148",14.1,20.3,9.1,76.8,"11,401","8,155",0,0,"1,981,534","3,196,157,132",22962416.67
16-May,"1,172",19.6,25.7,14.1,160.5,"12,134","8,500",400,"3,374,188","2,429,790","3,842,658,668",22962416.67
16-Jun,"1,171",23.6,28.7,19.5,54.4,"12,534","8,543",0,0,"2,374,002","4,322,892,875",22962416.67
16-Jul,"1,144",26.2,29.8,23.3,358.2,"11,511","7,126",200,"1,233,232","3,243,640","5,655,865,072",22962416.67
16-Aug,"1,112",28,32.6,24.5,67.1,"10,334","6,377",0,0,"4,871,830","6,880,706,832",22962416.67
16-Sep,"1,107",23.1,27.9,19.3,33,"10,130","6,687","20,834","18,892,062","2,546,712","4,665,273,273",22962416.67
