month,exchangeRate,avgTemp,maxTemp,minTemp,rainfall,retailPrice,wholesalePrice,exportVolume,exportValue,importVolume,importValue,production
14-Jan,"1,065",0.7,3.5,4.9,13,"1,804",755,0,0,"663,800","392,668,695",132496416.7
14-Feb,"1,071",1.9,6.6,1.8,16.2,"1,842",723,0,0,"352,190","216,031,410",132496416.7
14-Mar,"1,071",7.9,13.1,3.5,7.2,"1,668",633,0,0,"419,100","246,537,774",132496416.7
14-Apr,"1,045",14,19.6,9.4,31,"1,534",584,0,0,"548,520","312,361,995",132496416.7
14-May,"1,025",18.9,25.3,13.8,63,"1,544",567,50,61500,"438,500","254,319,925",132496416.7
14-Jun,"1,019",23.1,27.8,19.7,98.1,"1,408",451,0,0,"500,730","277,344,287",132496416.7
14-Jul,"1,020",26.1,30.6,22.9,207.9,"1,294",411,0,0,"354,511","195,349,380",132496416.7
14-Aug,"1,025",25.2,29,22.1,172.8,"1,299",452,"1,000","5,723,600","334,500","188,699,425",132496416.7
14-Sep,"1,033",22.1,27,18,88.1,"1,343",481,0,0,"413,000","225,114,459",132496416.7
14-Oct,"1,060",15.6,21.4,10.7,52.2,"1,347",476,0,0,"388,500","205,018,840",132496416.7
14-Nov,"1,095",9,13.8,4.9,41.5,"1,292",470,0,0,"359,000","205,331,115",132496416.7
14-Dec,"1,104",2.9,1.5,6.7,17.9,"1,274",470,0,0,"384,170","222,715,440",132496416.7
15-Jan,"1,089",0.9,3.6,4.8,11.3,"1,306",470,0,0,"494,000","258,069,042",91161000
15-Feb,"1,098",1,6,2.9,22.7,"1,313",513,0,0,"343,000","208,746,270",91161000
15-Mar,"1,113",6.3,12.4,1,9.6,"1,324",603,0,0,"387,670","212,362,626",91161000
15-Apr,"1,089",13.3,18.8,8.4,80.5,"1,442",686,0,0,"374,520","216,067,401",91161000
15-May,"1,091",18.9,24.9,13.6,28.9,"1,701",690,0,0,"344,000","186,690,829",91161000
15-Jun,"1,112",23.6,29.5,18.9,99,"1,560",786,0,0,"512,960","292,170,216",91161000
15-Jul,"1,143",25.8,30,22.6,226,"1,889","1,059",0,0,"411,700","246,173,625",91161000
15-Aug,"1,179",26.3,30.8,22.8,72.9,"2,051","1,290",0,0,"682,890","442,165,086",91161000
15-Sep,"1,185",22.4,28.1,17.5,26,"2,136","1,310",0,0,"676,602","462,212,805",91161000
15-Oct,"1,148",15.5,21.2,10.8,81.5,"2,170","1,327",0,0,"800,025","494,887,876",91161000
15-Nov,"1,152",8.9,12.7,5.9,104.6,"2,326","1,503",0,0,"719,909","450,955,008",91161000
15-Dec,"1,172",1.6,6,2.1,29.1,"2,628","1,624",0,0,"755,554","482,285,032",91161000
16-Jan,"1,202",3.2,1.1,6.8,1,"2,606","1,579",0,0,"7,214,420","478,791,458",108229083.3
