month,exchangeRate,avgTemp,maxTemp,minTemp,rainfall,retailPrice,wholesalePrice,exportVolume,exportValue,importVolume,importValue,production
14-Jan,"1,065",0.7,3.5,4.9,13,"8,540","4,370","36,183","267,204,240",0,0,22581916.67
14-Feb,"1,071",1.9,6.6,1.8,16.2,"10,310","4,817","30,152","232,354,521",0,0,22581916.67
14-Mar,"1,071",7.9,13.1,3.5,7.2,"11,970","5,785","33,551","246,039,759",0,0,22581916.67
14-Apr,"1,045",14,19.6,9.4,31,"9,600","3,905","36,325","274,354,300",0,0,22581916.67
14-May,"1,025",18.9,25.3,13.8,63,"8,210","3,368","50,730","264,596,575",0,0,22581916.67
14-Jun,"1,019",23.1,27.8,19.7,98.1,"8,990","4,639","132,460","395,814,246",0,0,22581916.67
14-Jul,"1,020",26.1,30.6,22.9,207.9,"9,490","4,204","236,178","683,645,820",0,0,22581916.67
14-Aug,"1,025",25.2,29,22.1,172.8,"9,780","4,186","138,273","500,695,075",0,0,22581916.67
14-Sep,"1,033",22.1,27,18,88.1,"10,860","4,237","97,119","430,899,422",0,0,22581916.67
14-Oct,"1,060",15.6,21.4,10.7,52.2,"8,470","3,487","167,394","704,637,120",0,0,22581916.67
14-Nov,"1,095",9,13.8,4.9,41.5,"11,750","6,363","70,569","320,157,195",0,0,22581916.67
14-Dec,"1,104",2.9,1.5,6.7,17.9,"17,250","9,775","16,209","159,128,352",0,0,22581916.67
15-Jan,"1,089",0.9,3.6,4.8,11.3,"18,200","11,273","14,820","156,366,243",0,0,22772583.33
15-Feb,"1,098",1,6,2.9,22.7,"23,720","14,978","26,840","128,882,142",0,0,22772583.33
15-Mar,"1,113",6.3,12.4,1,9.6,"16,030","7,213","23,280","173,413,191",0,0,22772583.33
15-Apr,"1,089",13.3,18.8,8.4,80.5,"10,170","4,143","21,988","176,033,583",0,0,22772583.33
15-May,"1,091",18.9,24.9,13.6,28.9,"9,600","4,312","25,727","170,163,270",0,0,22772583.33
15-Jun,"1,112",23.6,29.5,18.9,99,"7,900","3,545","97,816","251,394,288",0,0,22772583.33
15-Jul,"1,143",25.8,30,22.6,226,"7,850","3,470","39,705","74,596,752",0,0,22772583.33
15-Aug,"1,179",26.3,30.8,22.8,72.9,"7,250","2,575","3,887","28,338,444",0,0,22772583.33
15-Sep,"1,185",22.4,28.1,17.5,26,"8,250","2,519","2,061","15,297,165",0,0,22772583.33
15-Oct,"1,148",15.5,21.2,10.8,81.5,"7,170","2,294","3,786","19,094,684",0,0,22772583.33
15-Nov,"1,152",8.9,12.7,5.9,104.6,"7,990","4,116","7,465","51,687,936",0,16128,22772583.33
15-Dec,"1,172",1.6,6,2.1,29.1,"11,150","6,484","40,122","435,567,940",0,0,22772583.33
16-Jan,"1,202",3.2,1.1,6.8,1,"15,160","10,745","6,371","77,486,930",0,0,21221500
16-Feb,"1,217",0.2,5.1,4.1,47.6,"19,660","11,774","9,082","89,231,657",1,8519,21221500
16-Mar,"1,188",7,12.6,2.4,40.5,"13,160","6,255","12,025","98,333,136",0,0,21221500
16-Apr,"1,148",14.1,20.3,9.1,76.8,"9,020","3,736","15,473","111,174,616",0,0,21221500
16-May,"1,172",19.6,25.7,14.1,160.5,"7,920","3,347","29,710","177,756,068",0,0,21221500
16-Jun,"1,171",23.6,28.7,19.5,54.4,"8,370","4,204","11,802","81,660,856",0,0,21221500
16-Jul,"1,144",26.2,29.8,23.3,358.2,"9,600","4,561","10,546","71,774,560",0,0,21221500
16-Aug,"1,112",28,32.6,24.5,67.1,"9,010","4,171","4,281","27,111,672",0,0,21221500
16-Sep,"1,107",23.1,27.9,19.3,33,"13,670","7,164","3,615","25,876,125",0,0,21221500
16-Oct,"1,125",16.1,21.3,11.6,74.8,"9,580","3,985","8,030","74,829,375",0,0,21221500
16-Nov,"1,162",6.8,11.6,2.8,16.7,"9,660","4,798","27,861","243,542,418",4,144088,21221500
16-Dec,"1,182",1.2,5.8,2.7,61.1,"8,860","3,834","26,776","233,858,700",0,0,21221500
17-Jan,"1,185",1.8,2.9,5.8,14.9,"9,180","4,353","21,014","194,277,195",0,0,20162166.67
17-Feb,"1,145",0.2,4.8,4.7,11.1,"8,180","3,275","32,501","267,252,160",0,0,20162166.67
17-Mar,"1,135",6.3,12.3,1.7,7.9,"7,090","2,725","32,704","222,428,220",0,0,20162166.67
17-Apr,"1,133",13.9,20,9.1,61.6,"6,460","2,463","32,126","221,181,994",0,0,20162166.67
17-May,"1,125",19.5,25.4,14.4,16.1,"7,360","3,263","30,593","189,731,250",0,0,20162166.67
17-Jun,"1,130",23.3,28.8,18.7,66.6,"8,640","4,108","17,058","105,617,710",1,7910,20162166.67
17-Jul,"1,134",26.9,30.4,24.3,621,"9,710","5,182","8,276","50,163,624",0,0,20162166.67
17-Aug,"1,131",25.9,29.7,22.9,297,"10,900","5,533","4,632","40,285,089",0,0,20162166.67
17-Sep,"1,132",22.1,27.4,17.5,35,"12,550","6,309","2,812","27,947,948",0,0,20162166.67
17-Oct,"1,132",16.4,22.5,11.6,26.5,"8,650","3,208","3,594","25,069,272",0,0,20162166.67
17-Nov,"1,105",5.6,10.5,1.3,40.7,"8,620","3,535","24,575","177,866,325",0,0,20162166.67
17-Dec,"1,086",1.9,2.2,5.7,34.8,"7,650","2,864","32,271","257,125,704",0,0,20162166.67
18-Jan,"1,067",4,0.1,7.3,8.5,"9,020","4,783","25,318","187,259,567",0,0,22104500
18-Feb,"1,080",1.6,3.3,5.9,29.6,"15,920","7,909","24,389","201,467,520",0,0,22104500
18-Mar,"1,072",8.1,13.6,3.8,49.5,"10,800","4,844","27,419","190,415,072",0,0,22104500
18-Apr,"1,068",13,18.5,8.1,130.3,"9,110","3,537","29,268","188,478,504",0,0,22104500
18-May,"1,076",18.2,23.3,13.4,222,"8,210","3,358","28,210","169,336,576",0,0,22104500
18-Jun,"1,093",23.1,28.4,18.9,171.5,"8,750","3,884","17,356","95,566,455",0,0,22104500
18-Jul,"1,123",27.8,32.1,24.2,185.6,"9,550","4,564","18,351","112,648,130",0,0,22104500
18-Aug,"1,121",28.8,33.3,25.2,202.6,"9,250","4,028","12,144","58,822,233",0,0,22104500
18-Sep,"1,121",21.5,26,17.6,68.5,"11,640","6,712","11,011","73,064,538",0,0,22104500
18-Oct,"1,131",13.1,18.6,8.5,120.5,"9,790","4,319","10,971","70,901,259",0,0,22104500
18-Nov,"1,129",7.8,13.2,3.6,79.1,"8,860","4,179","16,046","125,281,743",0,0,22104500
18-Dec,"1,123",0.6,4.1,4.7,16.4,"8,960","4,578","23,902","177,667,584",2,24706,22104500
19-Jan,"1,122",0.9,4.1,5.1,0,"11,430","6,994","26,439","216,609,954",5,57222,21190000
19-Feb,"1,122",1,6,3.2,23.8,"13,450","8,726","25,618","186,471,912",0,0,21190000
19-Mar,"1,131",7.1,12.4,2.7,26.8,"13,230","7,046","31,452","226,439,772",0,0,21190000
