month,exchangeRate,avgTemp,maxTemp,minTemp,rainfall,retailPrice,wholesalePrice,exportVolume,exportValue,importVolume,importValue,production
14-Jan,"1,065",0.7,3.5,4.9,13,"1,061",383,"461,700","230,555,460","1,920,952","503,412,720",108080833.3
14-Feb,"1,071",1.9,6.6,1.8,16.2,"1,031",359,"387,655","195,740,244","677,140","207,878,958",108080833.3
14-Mar,"1,071",7.9,13.1,3.5,7.2,"1,011",378,"203,055","90,040,041","807,390","245,453,922",108080833.3
14-Apr,"1,045",14,19.6,9.4,31,"1,097",415,"19,611","18,762,975","505,040","156,387,385",108080833.3
14-May,"1,025",18.9,25.3,13.8,63,"1,267",434,"29,988","17,664,850","550,800","160,330,500",108080833.3
14-Jun,"1,019",23.1,27.8,19.7,98.1,"1,438",433,"46,936","42,706,290","602,208","178,758,075",108080833.3
14-Jul,"1,020",26.1,30.6,22.9,207.9,"1,423",462,"9,150","4,650,180","583,200","169,797,360",108080833.3
14-Aug,"1,025",25.2,29,22.1,172.8,"1,536",490,"14,190","8,220,500","401,680","119,648,250",108080833.3
14-Sep,"1,033",22.1,27,18,88.1,"1,572",529,"39,177","34,169,574","388,800","114,640,274",108080833.3
14-Oct,"1,060",15.6,21.4,10.7,52.2,"1,500",457,"45,349","36,355,880","338,400","95,366,080",108080833.3
14-Nov,"1,095",9,13.8,4.9,41.5,"1,286",432,"97,895","54,856,215","902,112","276,364,860",108080833.3
14-Dec,"1,104",2.9,1.5,6.7,17.9,"1,329",413,"457,740","219,646,320","608,296","185,334,000",108080833.3
15-Jan,"1,089",0.9,3.6,4.8,11.3,"1,268",395,"495,214","239,423,184","497,200","121,714,263",104110583.3
15-Feb,"1,098",1,6,2.9,22.7,"1,234",434,"425,300","210,057,282","369,264","95,169,150",104110583.3
15-Mar,"1,113",6.3,12.4,1,9.6,"1,271",438,"170,730","90,197,520","539,104","119,446,047",104110583.3
15-Apr,"1,089",13.3,18.8,8.4,80.5,"1,322",436,"18,815","16,145,514","194,400","55,044,594",104110583.3
15-May,"1,091",18.9,24.9,13.6,28.9,"1,366",472,"46,365","38,563,577","291,600","82,756,714",104110583.3
15-Jun,"1,112",23.6,29.5,18.9,99,"1,811",633,"27,620","21,994,248","97,201","28,139,160",104110583.3
15-Jul,"1,143",25.8,30,22.6,226,"2,196",838,"13,340","15,339,060","406,128","128,198,880",104110583.3
15-Aug,"1,179",26.3,30.8,22.8,72.9,"1,932",622,"26,990","22,221,792",200,1061100,104110583.3
15-Sep,"1,185",22.4,28.1,17.5,26,"1,662",418,"20,235","17,615,025","309,706","100,694,190",104110583.3
15-Oct,"1,148",15.5,21.2,10.8,81.5,"1,412",378,"28,415","26,420,072","18,992","9,792,440",104110583.3
15-Nov,"1,152",8.9,12.7,5.9,104.6,"1,353",395,"195,332","124,516,224","496,914","132,264,576",104110583.3
15-Dec,"1,172",1.6,6,2.1,29.1,"1,361",412,"1,550,510","750,994,160","1,461,560","387,435,072",104110583.3
16-Jan,"1,202",3.2,1.1,6.8,1,"1,377",477,"813,741","427,454,038","359,890","93,676,668",84346833.33
16-Feb,"1,217",0.2,5.1,4.1,47.6,"1,848",611,"563,035","286,646,095","18,336","10,032,948",84346833.33
16-Mar,"1,188",7,12.6,2.4,40.5,"1,883",680,"244,069","157,425,444","37,800","10,158,588",84346833.33
16-Apr,"1,148",14.1,20.3,9.1,76.8,"2,059",878,"49,503","35,264,264","119,656","31,051,104",84346833.33
16-May,"1,172",19.6,25.7,14.1,160.5,"2,177",706,"13,352","13,117,024","117,544","38,936,184",84346833.33
16-Jun,"1,171",23.6,28.7,19.5,54.4,"1,821",524,"26,143","24,821,687","387,776","105,591,412",84346833.33
16-Jul,"1,144",26.2,29.8,23.3,358.2,"1,794",569,"14,650","11,286,704","97,200","23,290,696",84346833.33
16-Aug,"1,112",28,32.6,24.5,67.1,"1,968",621,"17,798","14,136,856","133,184","36,641,512",84346833.33
